"","thorax_temp"
"330",500
"331",12.2513491535571
"332",46.4406570949841
"333",37.86152519206
"334",113.45935804959
"335",500
"336",8.43391698622747
"337",19.8175939061861
"338",25.5686967871645
"339",30.1939666151101
"340",98.5075124464304
"341",500
"342",500
"343",32.9295831875707
"344",500
"345",10.5949110313699
"346",500
"347",500
"348",31.5230472704646
"349",85.4875737289362
"350",17.6121660050293
"351",17.7054036101538
"352",5.44924547231938
"353",39.1587173010234
"354",55.3340224359154
"355",500
"356",124.542349549174
"357",500
"358",52.9395559629877
"359",500
"360",15.6729170182655
"361",55.9230216199476
"362",500
"363",500
"364",106.53781400135
"365",53.4543348767121
"366",125.228787543899
"367",31.37228550468
"368",500
"369",33.3454542074575
"370",53.6683514767701
"371",38.6405392619213
"372",500
"373",500
"374",500
"375",500
"376",41.9265567503829
"377",16.0724711779424
"378",13.4561640004567
"379",61.1233430683757
"380",6.95682810988899
"381",500
"382",21.2421297642151
"383",500
"384",500
"385",4.93004369529535
"386",500
"387",500
"388",16.0994857703641
"389",54.9544170126401
"390",84.5365142185723
"391",115.091788644018
"392",111.334797125776
"393",120.03443703028
"394",23.7224586044591
"395",11.2098399437359
"396",28.7405078063081
"397",30.0620904330255
"398",16.662676130589
"399",500
"400",30.4801355397756
"401",500
"402",23.1957835406197
"403",12.0287723925455
"404",500
"405",44.9075285636387
"406",109.487629238434
"407",55.0299390633866
"408",500
"409",500
"410",36.0152807577243
"411",500
"412",24.1077159261432
"413",24.9426564339387
"414",28.039568791276
"415",500
"416",500
"417",500
"418",500
"419",31.6607288734831
"420",500
"421",500
"422",500
"423",500
"424",500
"425",23.0780163836811
"426",62.1560902846214
"427",46.488135701675
"428",500
"429",500
"430",500
"431",8.92075553683134
"432",500
"433",33.731340588734
"434",50.490001347935
"435",40.437514058592
"436",22.3080307583719
"437",500
"438",41.1009801343359
"439",53.4677533947645
"440",128.662139655416
"441",500
"442",103.399462134423
"443",73.1443307805031
"444",500
"445",500
"446",500
"447",33.6370395094039
"448",500
"449",12.5269985462806
"450",10.0518430437477
"451",500
"452",111.350012756544
"453",34.8268015046038
"454",13.4572330470312
"455",500
"456",38.71410817205
"457",6.58107333888643
"458",108.701289978289
"459",49.6515965768908
"460",500
"461",500
"462",42.2614416247075
"463",20.1255610255386
"464",11.4711568658323
"465",107.237064768872
"466",45.6372073548864
"467",7.54824692026574
"468",500
"469",33.4741240190887
"470",46.2478400976544
"471",500
"472",11.8141551109565
"473",45.3780759133032
"474",500
"475",500
"476",500
"477",12.6489762273189
"478",500
"479",500
"480",7.4879483008678
"481",500
"482",47.2961522432223
"483",52.8262940133158
"484",32.3572676987641
"485",104.316710648577
"486",7.68819113647362
"487",22.122636117964
"488",46.0021289319293
"489",79.4032138305012
"490",59.5403907371229
"491",126.333625070525
"492",113.972823035102
"493",50.7590673598651
"494",39.419551700592
"495",66.2790660476463
"496",500
"497",39.4431852243
"498",40.7778945097864
"499",28.0916096728007
"500",46.0682909411531
"501",17.2233482134849
"502",42.3747393510579
"503",15.1477823743807
"504",48.5380991586103
"505",30.9034376640614
"506",105.591862422887
"507",5.82364095872873
"508",500
"509",59.0077048644835
"510",500
"511",31.173895637178
"512",111.479982563576
"513",500
"514",20.4129967927929
"515",17.9317641170707
"516",76.5684911747825
"517",500
"518",42.4800820315656
"519",31.4941370441572
"520",29.9032538185603
"521",45.0543668540075
"522",500
"523",73.4787207303314
"524",500
"525",500
"526",500
"527",18.0928507659677
"528",42.9823277364591
"529",77.0295718844739
"530",500
"531",106.50185136215
"532",500
"533",27.4464671934906
"534",500
"535",15.5007508685512
"536",31.8383855808813
"537",23.8750268758377
"538",36.864796995499
"539",16.6335231859731
"540",14.8866679693336
"541",20.9428956524122
"542",6.66366858523412
"543",500
"544",500
"545",500
"546",107.474189741757
"547",121.518477286069
"548",34.819470921508
"549",67.8302111148649
"550",28.5168029326303
"551",500
"552",50.0971282854155
"553",11.2455989623317
"554",51.8350003537281
